Débitos,Fabricante,Modelo,Ano,Categoria,Couro,Combustivel,Volume_motor,Km,Cilindros,Tipo_cambio,Tração,Portas,Cor,Airbags,Preco,Numero_proprietarios,Data_ultima_lavagem,Adesivos_personalizados,Radio_AM_FM,Historico_troca_oleo,Idade,Km_por_ano,Dias_desde_ultima_lavagem,Km_imputado
1202.0,CHEVROLET,Lacetti,2006,Hatchback,Nao,Gasolina,1.6,200000.0,4,Manual,Dianteira,4-5,Preto,2,1.0,2,2020-06-29,Não,AM,3,17,11764.70588235294,916,0
900.0,KIA,Sportage,2015,SUV,Nao,Gasolina,2.4,50345.0,4,Tiptronic,4x4,4-5,Azul,12,3.0,1,2021-02-28,Sim,AM,2,8,6293.125,672,0
697.0,VOLKSWAGEN,Jetta,2015,Sedan,Sim,Gasolina,1.8,65000.0,4,Automatico,Dianteira,4-5,Cinza,12,3.0,3,2022-10-12,Não,FM,10,8,8125.0,81,0
0.0,HYUNDAI,Sonata,2011,Sedan,Sim,Gasolina,2.4,135024.5355714857,4,Tiptronic,Dianteira,4-5,Branco,6,3.0,2,2022-03-05,Não,AM,5,12,11252.044630957142,302,1
0.0,CHEVROLET,Cruze,2018,Sedan,Nao,Gasolina,1.4,61000.0,4,Tiptronic,Dianteira,4-5,Cinza,8,3.0,4,2021-01-24,Sim,AM/FM,7,5,12200.0,707,0
0.0,BMW,525,1995,Sedan,Nao,Gasolina,2.8,236262.18863143568,6,Manual,Traseira,4-5,Preto,3,3.0,4,2022-07-28,Não,AM,3,28,8437.93530826556,157,1
0.0,MERCEDES-BENZ,C 220,1998,Sedan,Nao,Diesel,2.2,312532.40644392365,4,Manual,Traseira,4-5,Preto,2,3.0,2,2020-07-30,Sim,FM,6,25,12501.296257756947,885,1
503.0,TOYOTA,Prius C,2012,Hatchback,Sim,Gasolina,1.5,172800.0,4,Automatico,Dianteira,4-5,Cinza,12,3.0,2,2020-10-19,Sim,FM,9,11,15709.09090909091,804,0
0.0,MERCEDES-BENZ,200,1997,Sedan,Nao,Gás Natural,2.3,271571.6082249902,4,Automatico,Traseira,4-5,Marrom,5,6.0,1,2020-01-09,Sim,AM,7,26,10445.061854807314,1088,1
87.0,MERCEDES-BENZ,E 350,2016,Sedan,Sim,Gasolina,0.0,62643.51578022985,6,Automatico,Traseira,4-5,Branco,12,6.0,4,2021-11-20,Não,AM,6,7,8949.073682889979,407,1
