Fabricante_LAMBORGHINI,Idade,Ano,Km,Tipo_cambio_Tiptronic,Categoria_SUV,Volume_motor,Combustivel_Híbrido,Fabricante_HYUNDAI,Fabricante_BENTLEY,Categoria_Sedan,Cilindros,Couro_Sim,Categoria_Hatchback,Km_por_ano,Fabricante_SSANGYONG,Tipo_cambio_Manual,Fabricante_TOYOTA,Fabricante_LAND ROVER,Cor_Preto,Fabricante_OPEL,Combustivel_Gás Natural,Categoria_Universal,Fabricante_PORSCHE,Tração_Dianteira,Fabricante_NISSAN,Cor_Prata,Fabricante_BMW,Fabricante_VOLKSWAGEN,Débitos,Categoria_Vagao de carga,Cor_Azul,Cor_Verde,Fabricante_CHEVROLET,Fabricante_HONDA,Fabricante_SUBARU,Fabricante_JEEP,Fabricante_DAEWOO,Airbags,Cor_Vermelho,Fabricante_FERRARI,Fabricante_VAZ,Fabricante_MAZDA,Fabricante_DODGE,Fabricante_MITSUBISHI,Categoria_Microonibus,Tipo_cambio_Variator,Preco
0,24,1999,122231.0,0,0,1.6,0,0,0,1,4,1,0,5092.958333333333,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1.0
0,7,2016,41000.0,0,0,1.8,0,0,0,1,4,1,0,5857.142857142857,0,0,0,0,0,0,0,0,0,1,0,0,0,1,810.0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3.0
0,19,2004,328000.0,0,0,2.3,0,0,0,0,4,1,0,17263.157894736843,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
0,9,2014,134400.0,1,0,1.8,0,0,0,1,4,1,0,14933.333333333334,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1502.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3.0
0,19,2004,176336.24713777125,0,1,3.3,0,0,0,0,6,0,0,9280.855112514277,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3.0
0,12,2011,80000.0,1,0,1.8,0,1,0,1,4,1,0,6666.666666666667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3.0
0,8,2015,75200.0,0,0,1.5,0,0,0,0,4,1,1,9400.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,595.0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,3.0
0,8,2015,104000.0,0,0,1.5,0,0,0,0,4,1,1,13000.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,595.0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,6.0
0,22,2001,34000.0,0,0,2.0,0,0,0,1,4,0,0,1545.4545454545455,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6.0
0,22,2001,176477.98934695087,0,0,2.5,0,0,0,0,6,0,0,8021.726788497766,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0
0,8,2015,105600.0,0,0,1.5,0,0,0,0,4,1,1,13200.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,595.0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,6.0
0,18,2005,18000.0,0,0,1.6,1,0,0,1,1,0,0,1000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9.0
0,15,2008,135000.0,0,0,1.5,1,0,0,0,4,1,1,9000.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,20.0
0,18,2005,136000.0,0,0,1.5,0,0,0,0,5,0,1,7555.555555555556,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,20.0
0,21,2002,145000.0,1,0,1.9,0,0,0,0,4,1,1,6904.761904761905,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,25.0
0,20,2003,146000.0,0,0,1.5,0,0,0,0,4,0,1,7300.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,25.0
0,18,2005,114000.0,0,0,1.5,0,0,0,0,4,0,1,6333.333333333333,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,25.0
0,18,2005,157000.0,0,0,1.3,0,0,0,0,4,0,1,8722.222222222223,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,25.0
0,21,2002,157000.0,0,0,1.5,0,0,0,0,4,0,1,7476.190476190476,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,25.0
0,13,2010,101000.0,0,0,1.3,0,0,0,1,4,0,0,7769.2307692307695,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,1,25.0
0,17,2006,252800.0,0,0,1.5,1,0,0,1,4,1,0,14870.588235294117,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,28.0
