Preco,Preco_Predito,Erro,Erro_Absoluto
40556,49301,-8745,8745
5331,4471,860,860
18817,3647,15170,15170
22894,26153,-3259,3259
20005,18416,1589,1589
26657,27189,-532,532
21953,36212,-14259,14259
22357,23975,-1618,1618
1568,3694,-2126,2126
1568,6707,-5139,5139
19933,18106,1827,1827
2509,2231,278,278
17000,15998,1002,1002
20385,23209,-2824,2824
392,6152,-5760,5760
95739,73975,21764,21764
,49307,,
941,3087,-2146,2146
39201,8734,30467,30467
251,2807,-2556,2556
59586,52013,7573,7573
48610,49606,-996,996
47107,38179,8928,8928
1333,21482,-20149,20149
7213,12355,-5142,5142
3607,3143,464,464
26971,24326,2645,2645
14834,17996,-3162,3162
14454,18217,-3763,3763
706,4435,-3729,3729
11604,21330,-9726,9726
314,2670,-2356,2356
34811,31371,3440,3440
18817,16979,1838,1838
34497,27675,6822,6822
9565,13176,-3611,3611
706,7219,-6513,6513
19444,15550,3894,3894
3293,3347,-54,54
784,1519,-735,735
12858,4238,8620,8620
2700,9565,-6865,6865
28043,34006,-5963,5963
13328,6546,6782,6782
6899,6613,286,286
4704,7286,-2582,2582
56177,36698,19479,19479
45473,34363,11110,11110
12231,10445,1786,1786
141124,158307,-17183,17183
22580,19851,2729,2729
17876,16407,1469,1469
1568,3545,-1977,1977
5959,3016,2943,2943
4200,3454,746,746
14834,17889,-3055,3055
23239,22499,740,740
4861,7896,-3035,3035
14113,20635,-6522,6522
68994,42218,26776,26776
9565,7763,1802,1802
3450,1896,1554,1554
6269,16602,-10333,10333
24775,12081,12694,12694
784,6304,-5520,5520
25591,19641,5950,5950
18817,16454,2363,2363
,2740,,
627,10426,-9799,9799
6429,3568,2861,2861
4391,5576,-1185,1185
3136,3085,51,51
,26328,,
24462,16787,7675,7675
5018,5622,-604,604
5018,5952,-934,934
8154,12655,-4501,4501
,14401,,
470,1542,-1072,1072
69935,67599,2336,2336
,6904,,
4077,4386,-309,309
17249,11452,5797,5797
12544,8164,4380,4380
28592,20539,8053,8053
36065,53177,-17112,17112
12544,17666,-5122,5122
24920,23196,1724,1724
5645,4745,900,900
,15652,,
8154,8280,-126,126
627,4566,-3939,3939
1650,7474,-5824,5824
106627,71153,35474,35474
172486,113827,58659,58659
22266,83174,-60908,60908
5959,6555,-596,596
13642,15099,-1457,1457
16621,17029,-408,408
627,1048,-421,421
12858,7536,5322,5322
12231,5372,6859,6859
56450,37512,18938,18938
29762,17020,12742,12742
31675,28216,3459,3459
22580,15597,6983,6983
35610,39256,-3646,3646
31988,19830,12158,12158
17023,20953,-3930,3930
36231,18549,17682,17682
1700,10736,-9036,9036
470,4915,-4445,4445
36539,18780,17759,17759
30,11256,-11226,11226
7527,6793,734,734
3763,2492,1271,1271
40769,49274,-8505,8505
15367,20669,-5302,5302
12758,12227,531,531
25512,20830,4682,4682
627,32821,-32194,32194
2038,2534,-496,496
2500,3824,-1324,1324
31047,24214,6833,6833
15053,30675,-15622,15622
2587,3651,-1064,1064
20698,3867,16831,16831
9408,9879,-471,471
4704,5540,-836,836
42218,31185,11033,11033
21639,24366,-2727,2727
15681,16013,-332,332
59837,60906,-1069,1069
23521,37012,-13491,13491
3763,3495,268,268
3450,3310,140,140
,36989,,
5175,3834,1341,1341
38229,41201,-2972,2972
12544,8849,3695,3695
8467,7275,1192,1192
4861,4876,-15,15
31,7355,-7324,7324
23207,16905,6302,6302
470,1895,-1425,1425
10500,11276,-776,776
41629,40916,713,713
941,5252,-4311,4311
15681,18757,-3076,3076
14113,15163,-1050,1050
18817,12738,6079,6079
8000,9190,-1190,1190
31988,27444,4544,4544
10663,11150,-487,487
13485,11810,1675,1675
13485,13954,-469,469
,17297,,
16308,16747,-439,439
862,1582,-720,720
16778,19380,-2602,2602
12074,12758,-684,684
26657,27602,-945,945
25440,31988,-6548,6548
1176,2895,-1719,1719
81539,85092,-3553,3553
627,4105,-3478,3478
1098,1941,-843,843
1568,6859,-5291,5291
,16554,,
37000,34496,2504,2504
5000,7966,-2966,2966
,4055,,
21953,11942,10011,10011
220,2828,-2608,2608
,18156,,
7840,8266,-426,426
16621,30512,-13891,13891
10349,5440,4909,4909
470,3269,-2799,2799
5959,6516,-557,557
13172,14957,-1785,1785
5645,5138,507,507
157,1523,-1366,1366
314,1175,-861,861
2509,1438,1071,1071
,48599,,
7213,6518,695,695
8938,13845,-4907,4907
15035,15806,-771,771
3763,3420,343,343
,23784,,
18817,18315,502,502
19613,16514,3099,3099
22266,29476,-7210,7210
1111,14648,-13537,13537
22580,36656,-14076,14076
